canonical	oriented	S	r	c	d0	d1	a0	a1	sign	pair_orbits	A_per_orbit	A_checked	triple_pass	dfs_calls	dfs_nodes	result	seconds
6,6,0,8,3,3	6,6,3,3,0,8	26	6	6	3	3	0	8	0	16496	1	16496	0	0	0	UNSAT	0.004434
6,6,0,8,3,3	6,6,3,3,8,0	26	6	6	3	3	8	0	0	16496	1	16496	0	0	0	UNSAT	0.004350
6,6,1,5,1,7	6,6,1,5,1,7	26	6	6	1	5	1	7	0	16496	64	1055744	0	0	0	UNSAT	0.034155
6,6,1,5,1,7	6,6,5,1,7,1	26	6	6	5	1	7	1	0	16496	64	1055744	0	0	0	UNSAT	0.011226
6,6,1,5,2,6	6,6,2,6,1,5	26	6	6	2	6	1	5	0	16496	448	7390208	0	0	0	UNSAT	0.049106
6,6,1,5,2,6	6,6,6,2,5,1	26	6	6	6	2	5	1	0	16496	448	7390208	0	0	0	UNSAT	0.058783
6,6,1,5,3,5	6,6,3,5,1,5	26	6	6	3	5	1	5	0	16496	448	7390208	0	0	0	UNSAT	0.038436
6,6,1,5,3,5	6,6,5,3,5,1	26	6	6	5	3	5	1	0	16496	448	7390208	0	0	0	UNSAT	0.058663
6,6,1,5,4,4	6,6,4,4,1,5	26	6	6	4	4	1	5	0	16496	448	7390208	0	0	0	UNSAT	0.043764
6,6,1,5,4,4	6,6,4,4,5,1	26	6	6	4	4	5	1	0	16496	448	7390208	0	0	0	UNSAT	0.056419
6,6,1,6,1,6	6,6,1,6,1,6	26	6	6	1	6	1	6	1	10132	224	2269568	0	0	0	UNSAT	0.013384
6,6,1,6,1,6	6,6,6,1,6,1	26	6	6	6	1	6	1	1	10132	224	2269568	0	0	0	UNSAT	0.013478
6,6,1,6,2,5	6,6,2,5,1,6	26	6	6	2	5	1	6	0	16496	224	3695104	0	0	0	UNSAT	0.019818
6,6,1,6,2,5	6,6,5,2,6,1	26	6	6	5	2	6	1	0	16496	224	3695104	0	0	0	UNSAT	0.038296
6,6,1,6,3,4	6,6,3,4,1,6	26	6	6	3	4	1	6	0	16496	224	3695104	0	0	0	UNSAT	0.021140
6,6,1,6,3,4	6,6,4,3,6,1	26	6	6	4	3	6	1	0	16496	224	3695104	0	0	0	UNSAT	0.024413
6,6,1,7,2,4	6,6,2,4,1,7	26	6	6	2	4	1	7	0	16496	64	1055744	0	0	0	UNSAT	0.009581
6,6,1,7,2,4	6,6,4,2,7,1	26	6	6	4	2	7	1	0	16496	64	1055744	0	0	0	UNSAT	0.009401
6,6,1,7,3,3	6,6,3,3,1,7	26	6	6	3	3	1	7	0	16496	64	1055744	0	0	0	UNSAT	0.009277
6,6,1,7,3,3	6,6,3,3,7,1	26	6	6	3	3	7	1	0	16496	64	1055744	0	0	0	UNSAT	0.028628
6,6,2,4,2,6	6,6,2,4,2,6	26	6	6	2	4	2	6	0	16496	784	12932864	0	0	0	UNSAT	0.060245
6,6,2,4,2,6	6,6,4,2,6,2	26	6	6	4	2	6	2	0	16496	784	12932864	0	0	0	UNSAT	0.092502
6,6,2,4,3,5	6,6,3,5,2,4	26	6	6	3	5	2	4	0	16496	1960	32332160	0	0	0	UNSAT	0.256012
6,6,2,4,3,5	6,6,5,3,4,2	26	6	6	5	3	4	2	0	16496	1960	32332160	0	0	0	UNSAT	0.234303
6,6,2,4,4,4	6,6,4,4,2,4	26	6	6	4	4	2	4	0	16496	1960	32332160	0	0	0	UNSAT	0.220963
6,6,2,4,4,4	6,6,4,4,4,2	26	6	6	4	4	4	2	0	16496	1960	32332160	0	0	0	UNSAT	0.197729
6,6,2,5,2,5	6,6,2,5,2,5	26	6	6	2	5	2	5	1	10132	1568	15886976	0	0	0	UNSAT	0.133023
6,6,2,5,2,5	6,6,5,2,5,2	26	6	6	5	2	5	2	1	10132	1568	15886976	0	0	0	UNSAT	0.105551
6,6,2,5,3,4	6,6,3,4,2,5	26	6	6	3	4	2	5	0	16496	1568	25865728	0	0	0	UNSAT	0.120572
6,6,2,5,3,4	6,6,4,3,5,2	26	6	6	4	3	5	2	0	16496	1568	25865728	0	0	0	UNSAT	0.131793
6,6,2,5,4,3	6,6,3,4,5,2	26	6	6	3	4	5	2	0	16496	1568	25865728	0	0	0	UNSAT	0.152006
6,6,2,5,4,3	6,6,4,3,2,5	26	6	6	4	3	2	5	0	16496	1568	25865728	0	0	0	UNSAT	0.144634
6,6,2,6,3,3	6,6,3,3,2,6	26	6	6	3	3	2	6	0	16496	784	12932864	0	0	0	UNSAT	0.088334
6,6,2,6,3,3	6,6,3,3,6,2	26	6	6	3	3	6	2	0	16496	784	12932864	0	0	0	UNSAT	0.075514
