canonical	oriented	S	r	c	d0	d1	a0	a1	sign	pair_orbits	A_per_orbit	A_checked	triple_pass	dfs_calls	dfs_nodes	result	seconds
6,6,0,8,3,3	6,6,3,3,8,0	26	6	6	3	3	8	0	0	16496	1	16496	0	0	0	UNSAT	0.003576
6,6,1,5,1,7	6,6,1,5,1,7	26	6	6	1	5	1	7	0	16496	64	1055744	0	0	0	UNSAT	0.007470
6,6,1,5,1,7	6,6,5,1,7,1	26	6	6	5	1	7	1	0	16496	64	1055744	0	0	0	UNSAT	0.007683
6,6,1,5,2,6	6,6,2,6,1,5	26	6	6	2	6	1	5	0	16496	448	7390208	0	0	0	UNSAT	0.030586
6,6,1,5,2,6	6,6,6,2,5,1	26	6	6	6	2	5	1	0	16496	448	7390208	0	0	0	UNSAT	0.051029
6,6,1,5,3,5	6,6,3,5,1,5	26	6	6	3	5	1	5	0	16496	448	7390208	0	0	0	UNSAT	0.030530
6,6,1,5,3,5	6,6,5,3,5,1	26	6	6	5	3	5	1	0	16496	448	7390208	0	0	0	UNSAT	0.050188
6,6,1,5,4,4	6,6,4,4,1,5	26	6	6	4	4	1	5	0	16496	448	7390208	0	0	0	UNSAT	0.030614
6,6,1,5,4,4	6,6,4,4,5,1	26	6	6	4	4	5	1	0	16496	448	7390208	0	0	0	UNSAT	0.030705
6,6,1,6,1,6	6,6,1,6,1,6	26	6	6	1	6	1	6	1	10132	224	2269568	0	0	0	UNSAT	0.034670
6,6,1,6,1,6	6,6,6,1,6,1	26	6	6	6	1	6	1	1	10132	224	2269568	0	0	0	UNSAT	0.010561
6,6,1,6,2,5	6,6,2,5,1,6	26	6	6	2	5	1	6	0	16496	224	3695104	0	0	0	UNSAT	0.017149
6,6,1,6,2,5	6,6,5,2,6,1	26	6	6	5	2	6	1	0	16496	224	3695104	0	0	0	UNSAT	0.017316
6,6,1,6,3,4	6,6,3,4,1,6	26	6	6	3	4	1	6	0	16496	224	3695104	0	0	0	UNSAT	0.017786
